dummy,dummy,dummy,dummy
0318_2018,Lunch,Capital Seafood,14:19
0319_2018,Lunch,Diho Siam (Thai),12:59
0324_2018,Lunch,Zink (Brunch),12:01
0324_2018,Dinner,Gangnam House,17:25
0401_2018,Lunch,Thai Caf,11:30
0407_2018,Dinner,Yupdduk,16:42
0417_2018,Dinner,Wow K pop,19:16
0418_2018,Lunch,Eureka!,12:39
0503_2018,Dinner,Sushi Imari,20:37
0504_2018,Dinner,KoBaWoo House,19:15
0522_2018,Dinner,Young Pung,19:10
0526_2018,Dinner,Mo Ran Gak Restaurant,20:28
0527_2018,Lunch,Chan Chan,14:01
0528_2018,Lunch,C'est Si Bon Bakery,12:32
0603_2018,Dinner,Emporio,18:48
0605_2018,Dinner,Koreana,20:41
0611_2018,Dinner,In-N-Out Burger,19:05
0612_2018,Dinner,Chai Lan,18:20
0617_2018,Lunch,The Halal Guys,13:57
0621_2018,Lunch,Yushoken Izakaya & Ramen,12:19
0624_2018,Lunch,MOULIN,14:03
0721_2018,Dinner,Young King Chinese Restaurant,18:15
0801_2018,Lunch,Tang,13:00
0805_2018,Dinner,Thai Caf,17:20
0814_2018,Dinner,Five Guys,18:22
0822_2018,Dinner,Souplantation- Irvine,18:57
0826_2018,Lunch,MOULIN,14:18
0826_2018,Dinner,Golden China Restaurant,18:45
0902_2018,Dinner,Lucille's Smokehouse Bar-B-Que,18:26
0908_2018,Dinner,chan chan,18:30
0909_2018,Lunch,Thai Caf,13:30
0926_2018,Lunch,Peppinos Italian Family Restaurant,12:22
0926_2018,Dinner,Pho Saigon Pearl,21:25
0929_2018,Lunch,Fratelli Cafe,11:42
0930_2018,Lunch,Doore Restaurant,13:50
1008_2018,Lunch,Baek Jung,11:50
1020_2018,Lunch,Gourmet Italia,12:51
1028_2018,Dinner,Sushi Imari,16:50
1105_2018,Dinner,Gunuljip,19:40
1110_2018,Lunch,BeachComber,12:35
1110_2018,Dinner,Chai Lan,19:53
1115_2018,Dinner,Yigah,18:30
1119_2018,Dinner,Julian Serrano,19:56
1129_2018,Dinner,Yakitori and ramen and okonomiyaki,18:34
1130_2018,Dinner,K bop,19:28
1209_2018,Lunch,Coliseum,14:24
1210_2018,Dinner,Kashiwa Ramen,20:01